Player,Tm,Salary,Cap Hit
Matt Roy,LAK,700000,700000
Samuel Girard,COL,700000,728333
Mark Letestu,WPG,700000,700000
Kevin Rooney,NJD,700000,700000
Andreas Englund,OTT,700000,700000
Fredrik Claesson,NJD,700000,700000
Curtis Lazar,BUF,700000,700000
Michael Amadio,LAK,700000,700000
Frederik Gauthier,TOR,700000,675000
Michael Stone,CGY,700000,700000
Carter Verhaeghe,TBL,700000,700000
Logan Shaw,WPG,700000,700000
Tristan Jarry,PIT,700000,675000
Philippe Myers,PHI,700000,678889
Filip Hronek,DET,700000,714166
Deryk Engelland,VEG,700000,700000
Jason Spezza,TOR,700000,700000
Anthony Cirelli,TBL,700000,728333
Jordan Kyrou,STL,700000,758333
Yannick Weber,NSH,700000,675000
Nicolas Aube-Kubel,PHI,700000,700000
Nicolas Roy,VEG,700000,720000
Nathan Gerbe,CBJ,700000,675000
Zac Rinaldo,CGY,700000,700000
Lucas Wallmark,FLA,700000,675000
Jack Campbell,TOR,700000,675000
Radim Simek,SJS,700000,675000
Anthony Bitetto,WPG,700000,700000
Jarred Tinordi,NSH,700000,700000
Chad Ruhwedel,PIT,700000,700000
Dmytro Timashov,DET,700000,694444
Dylan Gambrell,SJS,700000,700000
Derek Grant,PHI,700000,700000
Stefan Matteau,CBJ,700000,725000
Michael Dal Colle,NYI,700000,700000
Michael Hutchinson,COL,700000,700000
Tobias Rieder,CGY,700000,700000
Matt Irwin,ANA,700000,675000
Ilya Kovalchuk,WSH,350000,350000
Morgan Barron,NYR,,
Mikhail Grigorenko,CBJ,,
